event_id,domain,close_time,resolve_time,market_prob,baseline_prob,outcome
fpd-sap-car-2026-08-15-total-2pt5,sports,1786842000.0,1786845600.0,0.495,0.495,1
fpd-car-spo-2026-08-07-draw,sports,1786150800.0,1786154400.0,0.285,0.285,0
fpd-sca-her-2026-08-14-her,sports,1786755600.0,1786759200.0,0.375,0.375,0
fpd-car-her-2026-04-12-her,sports,1775869200.0,1776027600.0,0.34,0.34,1
fpd-sca-her-2026-08-14-exact-score-0-2,sports,1786755600.0,1786759200.0,0.065,0.065,0
fpd-her-spo-2026-08-22-spo,sports,1787446800.0,1787450400.0,0.27,0.27,1
fpd-her-spo-2026-08-22-total-5pt5,sports,1787446800.0,1787450400.0,0.0245,0.0245,0
fpd-car-sca-2026-04-22-spread-away-2pt5,sports,1776819600.0,1776909600.0,0.027,0.027,0
fpd-per-ala-2026-08-29-total-1pt5,sports,1788051600.0,1788055200.0,0.77,0.77,1
fpd-pun-per-2026-08-21-total-0pt5,sports,1787356800.0,1787360400.0,0.935,0.935,1
fpd-her-sca-2026-04-19-spread-away-2pt5,sports,1776560400.0,1776632400.0,0.0145,0.0145,0
fpd-gua-car-2026-04-26-btts,sports,1777237200.0,1777237200.0,0.47,0.47,0
fpd-her-spo-2026-08-22-her,sports,1787446800.0,1787450400.0,0.435,0.435,0
fpd-her-ala-2026-08-09-her,sports,1786316400.0,1786320000.0,0.425,0.425,0
fpd-car-spo-2026-08-07-car,sports,1786150800.0,1786154400.0,0.46,0.46,1
fpd-her-sca-2026-04-19-her,sports,1776560400.0,1776632400.0,0.665,0.665,1
fpd-esc-car-2026-08-22-esc,sports,1787436000.0,1787439600.0,0.285,0.285,0
fpd-car-her-2026-04-12-total-1pt5,sports,1775869200.0,1776027600.0,0.75,0.75,1
fpd-pun-spo-2026-04-19-spread-away-2pt5,sports,1776556800.0,1776632400.0,0.0355,0.0355,0
fpd-sca-per-2026-04-26-btts,sports,1777075200.0,1777237200.0,0.525,0.525,1
fpd-int-sca-2026-08-09-draw,sports,1786305600.0,1786309200.0,0.28,0.28,0
fpd-int-sca-2026-08-09-btts,sports,1786305600.0,1786309200.0,0.53,0.53,0
fpd-car-her-2026-04-12-car,sports,1775869200.0,1776027600.0,0.365,0.365,0
fpd-car-spo-2026-08-07-total-1pt5,sports,1786150800.0,1786154400.0,0.7,0.7,1
fpd-spo-ala-2026-04-12-draw,sports,1775955600.0,1776027600.0,0.305,0.305,0
fpd-sap-gua-2026-04-22-sap,sports,1776907800.0,1776909600.0,0.835,0.835,1
fpd-ala-pun-2026-08-15-pun,sports,1786827600.0,1786831200.0,0.125,0.125,0
fpd-spo-lib-2026-04-22-spread-away-2pt5,sports,1776812400.0,1776909600.0,0.0415,0.0415,0
fpd-per-pun-2026-04-12-pun,sports,1775948400.0,1776027600.0,0.36,0.36,0
fpd-per-pun-2026-04-12-draw,sports,1775948400.0,1776027600.0,0.305,0.305,1
fpd-sap-per-2026-04-01-sap,sports,1775091600.0,1775095200.0,0.42,0.42,1
fpd-per-her-2026-04-22-her,sports,1776898800.0,1776909600.0,0.525,0.525,1
fpd-pun-per-2026-08-21-total-2pt5,sports,1787356800.0,1787360400.0,0.53,0.53,0
fpd-ala-pun-2026-08-15-ala,sports,1786827600.0,1786831200.0,0.665,0.665,1
fpd-lib-car-2026-04-19-spread-home-1pt5,sports,1776474000.0,1776632400.0,0.185,0.185,0
fpd-per-ala-2026-08-29-per,sports,1788051600.0,1788055200.0,0.22,0.22,0
fpd-car-sca-2026-04-22-draw,sports,1776819600.0,1776909600.0,0.24,0.24,0
fpd-spo-ala-2026-04-12-spo,sports,1775955600.0,1776027600.0,0.34,0.34,0
fpd-sca-her-2026-08-14-total-0pt5,sports,1786755600.0,1786759200.0,0.9,0.9,1
fpd-per-ala-2026-08-29-total-4pt5,sports,1788051600.0,1788055200.0,0.145,0.145,0
fpd-gua-per-2026-04-19-total-2pt5,sports,1776546000.0,1776632400.0,0.525,0.525,0
fpd-ala-sap-2026-04-19-sap,sports,1776636000.0,1776632400.0,0.37,0.37,0
fpd-ala-pun-2026-04-22-pun,sports,1776992400.0,1776909600.0,0.11,0.11,0
fpd-car-her-2026-04-12-total-2pt5,sports,1775869200.0,1776027600.0,0.51,0.51,1
fpd-car-her-2026-04-12-total-3pt5,sports,1775869200.0,1776027600.0,0.29,0.29,0
fpd-pun-per-2026-08-21-draw,sports,1787356800.0,1787360400.0,0.255,0.255,0
fpd-sca-her-2026-08-14-draw,sports,1786755600.0,1786759200.0,0.3,0.3,0
fpd-pun-sap-2026-08-08-total-3pt5,sports,1786237200.0,1786240800.0,0.32,0.32,0
fpd-lib-car-2026-04-19-total-2pt5,sports,1776474000.0,1776632400.0,0.44,0.44,0
fpd-gua-per-2026-04-19-spread-home-1pt5,sports,1776546000.0,1776632400.0,0.185,0.185,0
fpd-lib-car-2026-04-19-spread-home-2pt5,sports,1776474000.0,1776632400.0,0.075,0.075,0
fpd-sap-car-2026-08-15-total-4pt5,sports,1786842000.0,1786845600.0,0.13,0.13,1
fpd-lib-car-2026-04-19-car,sports,1776474000.0,1776632400.0,0.295,0.295,0
fpd-lib-car-2026-04-19-total-4pt5,sports,1776474000.0,1776632400.0,0.09,0.09,0
fpd-esc-car-2026-08-22-total-4pt5,sports,1787436000.0,1787439600.0,0.12,0.12,1
fpd-sap-gua-2026-04-22-btts,sports,1776907800.0,1776909600.0,0.425,0.425,0
fpd-ala-pun-2026-04-22-ala,sports,1776992400.0,1776909600.0,0.66,0.66,1
fpd-ala-pun-2026-08-15-total-5pt5,sports,1786827600.0,1786831200.0,0.07,0.07,0
fpd-sap-car-2026-08-15-total-5pt5,sports,1786842000.0,1786845600.0,0.0515,0.0515,0
fpd-ala-gua-2026-04-01-ala,sports,1775091600.0,1775095200.0,0.45,0.45,0
fpd-car-her-2026-04-12-total-4pt5,sports,1775869200.0,1776027600.0,0.14,0.14,0
fpd-sap-car-2026-08-15-total-3pt5,sports,1786842000.0,1786845600.0,0.275,0.275,1
fpd-spo-ala-2026-04-12-btts,sports,1775955600.0,1776027600.0,0.54,0.54,0
fpd-gua-per-2026-04-19-spread-home-2pt5,sports,1776546000.0,1776632400.0,0.09,0.09,0
fpd-spo-int-2026-08-28-int,sports,1787965200.0,1787968800.0,0.175,0.175,0
fpd-car-her-2026-04-12-btts,sports,1775869200.0,1776027600.0,0.56,0.56,1
fpd-pun-per-2026-08-21-total-1pt5,sports,1787356800.0,1787360400.0,0.77,0.77,0
fpd-lib-car-2026-04-19-total-3pt5,sports,1776474000.0,1776632400.0,0.225,0.225,0
fpd-lib-car-2026-04-19-spread-away-2pt5,sports,1776474000.0,1776632400.0,0.065,0.065,0
fpd-spo-int-2026-08-28-team-total-away-2pt5,sports,1787965200.0,1787968800.0,0.0655,0.0655,0
fpd-gua-car-2026-04-26-spread-home-2pt5,sports,1777237200.0,1777237200.0,0.0385,0.0385,0
fpd-spo-ala-2026-04-12-spread-away-1pt5,sports,1775955600.0,1776027600.0,0.15,0.15,1
fpd-lib-car-2026-04-19-draw,sports,1776474000.0,1776632400.0,0.3,0.3,0
fpd-per-ala-2026-08-29-total-3pt5,sports,1788051600.0,1788055200.0,0.3,0.3,0
fpd-spo-ala-2026-04-12-total-2pt5,sports,1775955600.0,1776027600.0,0.45,0.45,0
fpd-gua-per-2026-04-19-btts,sports,1776546000.0,1776632400.0,0.57,0.57,0
fpd-spo-ala-2026-04-12-total-4pt5,sports,1775955600.0,1776027600.0,0.11,0.11,0
fpd-gua-car-2026-04-26-total-1pt5,sports,1777237200.0,1777237200.0,0.735,0.735,1
fpd-car-sca-2026-04-22-sca,sports,1776819600.0,1776909600.0,0.15,0.15,0
fpd-ala-pun-2026-04-22-btts,sports,1776992400.0,1776909600.0,0.46,0.46,1
fpd-spo-int-2026-08-28-spo,sports,1787965200.0,1787968800.0,0.59,0.59,1
fpd-lib-car-2026-04-19-spread-away-1pt5,sports,1776474000.0,1776632400.0,0.115,0.115,0
fpd-spo-lib-2026-04-22-lib,sports,1776812400.0,1776909600.0,0.235,0.235,1
fpd-car-spo-2026-08-07-exact-score-3-1,sports,1786150800.0,1786154400.0,0.04,0.04,0
fpd-sap-lib-2026-05-10-spread-away-2pt5,sports,1778446800.0,1778450400.0,0.035,0.035,0
fpd-pun-sap-2026-08-08-total-5pt5,sports,1786237200.0,1786240800.0,0.07,0.07,0
fpd-ala-sap-2026-04-19-spread-home-1pt5,sports,1776636000.0,1776632400.0,0.125,0.125,0
fpd-lib-car-2026-04-19-total-1pt5,sports,1776474000.0,1776632400.0,0.71,0.71,0
fpd-spo-lib-2026-04-22-total-1pt5,sports,1776812400.0,1776909600.0,0.725,0.725,0
fpd-per-ala-2026-08-29-total-2pt5,sports,1788051600.0,1788055200.0,0.535,0.535,0
fpd-lib-car-2026-04-19-btts,sports,1776474000.0,1776632400.0,0.52,0.52,0
fpd-per-pun-2026-04-12-per,sports,1775948400.0,1776027600.0,0.33,0.33,0
fpd-sap-gua-2026-04-22-gua,sports,1776907800.0,1776909600.0,0.0315,0.0315,0
fpd-pun-per-2026-08-21-team-total-home-0pt5,sports,1787356800.0,1787360400.0,0.825,0.825,1
fpd-car-her-2026-04-12-spread-away-1pt5,sports,1775869200.0,1776027600.0,0.15,0.15,0
fpd-per-pun-2026-04-12-spread-away-1pt5,sports,1775948400.0,1776027600.0,0.155,0.155,0
fpd-gua-per-2026-04-19-total-1pt5,sports,1776546000.0,1776632400.0,0.78,0.78,0
fpd-sca-gua-2026-04-12-spread-away-2pt5,sports,1776034800.0,1776027600.0,0.5,0.5,0
fpd-per-pun-2026-04-12-spread-home-1pt5,sports,1775948400.0,1776027600.0,0.14,0.14,0
fpd-ala-gua-2026-04-01-draw,sports,1775091600.0,1775095200.0,0.415,0.415,1
fpd-pun-spo-2026-04-19-spread-home-1pt5,sports,1776556800.0,1776632400.0,0.19,0.19,0
fpd-esc-per-2026-08-08-total-2pt5,sports,1786230000.0,1786233600.0,0.495,0.495,0
fpd-car-spo-2026-08-07-total-3pt5,sports,1786150800.0,1786154400.0,0.23,0.23,0
fpd-car-spo-2026-08-07-btts,sports,1786150800.0,1786154400.0,0.495,0.495,1
fpd-spo-int-2026-08-28-total-4pt5,sports,1787965200.0,1787968800.0,0.15,0.15,0
fpd-pun-sap-2026-04-26-total-2pt5,sports,1777237200.0,1777237200.0,0.515,0.515,1
fpd-car-her-2026-04-12-spread-home-1pt5,sports,1775869200.0,1776027600.0,0.17,0.17,0
fpd-ala-sap-2026-04-19-total-2pt5,sports,1776636000.0,1776632400.0,0.465,0.465,0
fpd-her-spo-2026-08-22-draw,sports,1787446800.0,1787450400.0,0.29,0.29,0
fpd-sap-per-2026-04-01-spread-home-2pt5,sports,1775091600.0,1775095200.0,0.51,0.51,1
fpd-her-ala-2026-08-09-total-3pt5,sports,1786316400.0,1786320000.0,0.225,0.225,0
fpd-car-sca-2026-04-22-total-3pt5,sports,1776819600.0,1776909600.0,0.25,0.25,0
fpd-her-ala-2026-08-09-total-2pt5,sports,1786316400.0,1786320000.0,0.425,0.425,1
fpd-int-sca-2026-08-09-sca,sports,1786305600.0,1786309200.0,0.305,0.305,0
fpd-sap-car-2026-08-15-halftime-result-home,sports,1786842000.0,1786845600.0,0.425,0.425,1
fpd-pun-sap-2026-04-26-sap,sports,1777237200.0,1777237200.0,0.52,0.52,1
fpd-lib-sca-2026-04-01-total-2pt5,sports,1775091600.0,1775095200.0,0.505,0.505,1
fpd-her-ala-2026-08-09-draw,sports,1786316400.0,1786320000.0,0.305,0.305,0
fpd-ala-pun-2026-04-22-total-3pt5,sports,1776992400.0,1776909600.0,0.27,0.27,1
fpd-car-spo-2026-08-07-team-total-away-0pt5,sports,1786150800.0,1786154400.0,0.635,0.635,1
