league,slug,kickoff,side,horizon_h,pm_price,avg_open,avg_close,b365_close,pin_close,bfe_close,outcome,volume
E0,epl-mac-sun-2025-12-06,2025-12-06T15:00:00+00:00,H,6,0.77,0.7643,0.7574,0.7591,0.762,0.77,1,470819
E0,epl-mac-sun-2025-12-06,2025-12-06T15:00:00+00:00,H,24,0.79,0.7643,0.7574,0.7591,0.762,0.77,1,470819
E0,epl-mac-sun-2025-12-06,2025-12-06T15:00:00+00:00,D,1,0.16,0.1524,0.1532,0.146,0.15,0.1505,0,27460
E0,epl-mac-sun-2025-12-06,2025-12-06T15:00:00+00:00,D,6,0.16,0.1524,0.1532,0.146,0.15,0.1505,0,27460
E0,epl-mac-sun-2025-12-06,2025-12-06T15:00:00+00:00,D,24,0.14,0.1524,0.1532,0.146,0.15,0.1505,0,27460
E0,epl-mac-sun-2025-12-06,2025-12-06T15:00:00+00:00,A,1,0.1,0.0833,0.0894,0.0949,0.088,0.0795,0,279249
E0,epl-mac-sun-2025-12-06,2025-12-06T15:00:00+00:00,A,6,0.08,0.0833,0.0894,0.0949,0.088,0.0795,0,279249
E0,epl-mac-sun-2025-12-06,2025-12-06T15:00:00+00:00,A,24,0.08,0.0833,0.0894,0.0949,0.088,0.0795,0,279249
E0,epl-eve-not-2025-12-06,2025-12-06T15:00:00+00:00,H,1,0.46,0.4378,0.4559,0.4637,0.4585,0.4597,1,166135
E0,epl-eve-not-2025-12-06,2025-12-06T15:00:00+00:00,H,6,0.45,0.4378,0.4559,0.4637,0.4585,0.4597,1,166135
E0,epl-eve-not-2025-12-06,2025-12-06T15:00:00+00:00,H,24,0.45,0.4378,0.4559,0.4637,0.4585,0.4597,1,166135
E0,epl-eve-not-2025-12-06,2025-12-06T15:00:00+00:00,D,1,0.3,0.2923,0.2891,0.2925,0.2884,0.292,0,15274
E0,epl-eve-not-2025-12-06,2025-12-06T15:00:00+00:00,D,6,0.3,0.2923,0.2891,0.2925,0.2884,0.292,0,15274
E0,epl-eve-not-2025-12-06,2025-12-06T15:00:00+00:00,D,24,0.3,0.2923,0.2891,0.2925,0.2884,0.292,0,15274
E0,epl-eve-not-2025-12-06,2025-12-06T15:00:00+00:00,A,1,0.26,0.2699,0.2549,0.2438,0.2531,0.2482,0,62555
E0,epl-eve-not-2025-12-06,2025-12-06T15:00:00+00:00,A,6,0.25,0.2699,0.2549,0.2438,0.2531,0.2482,0,62555
E0,epl-eve-not-2025-12-06,2025-12-06T15:00:00+00:00,A,24,0.2724,0.2699,0.2549,0.2438,0.2531,0.2482,0,62555
E0,epl-tot-bre-2025-12-06,2025-12-06T15:00:00+00:00,H,1,0.4,0.4109,0.3911,0.3809,0.3912,0.389,1,400820
E0,epl-tot-bre-2025-12-06,2025-12-06T15:00:00+00:00,H,6,0.41,0.4109,0.3911,0.3809,0.3912,0.389,1,400820
E0,epl-tot-bre-2025-12-06,2025-12-06T15:00:00+00:00,H,24,0.42,0.4109,0.3911,0.3809,0.3912,0.389,1,400820
E0,epl-tot-bre-2025-12-06,2025-12-06T15:00:00+00:00,D,1,0.28,0.2759,0.2825,0.2885,0.284,0.2845,0,43931
E0,epl-tot-bre-2025-12-06,2025-12-06T15:00:00+00:00,D,6,0.29,0.2759,0.2825,0.2885,0.284,0.2845,0,43931
E0,epl-tot-bre-2025-12-06,2025-12-06T15:00:00+00:00,D,24,0.28,0.2759,0.2825,0.2885,0.284,0.2845,0,43931
E0,epl-tot-bre-2025-12-06,2025-12-06T15:00:00+00:00,A,1,0.32,0.3132,0.3264,0.3306,0.3247,0.3265,0,85943
E0,epl-tot-bre-2025-12-06,2025-12-06T15:00:00+00:00,A,6,0.31,0.3132,0.3264,0.3306,0.3247,0.3265,0,85943
E0,epl-tot-bre-2025-12-06,2025-12-06T15:00:00+00:00,A,24,0.32,0.3132,0.3264,0.3306,0.3247,0.3265,0,85943
E0,epl-lee-liv-2025-12-06,2025-12-06T17:30:00+00:00,H,1,0.23,0.2404,0.2158,0.2247,0.2115,0.2108,0,281477
E0,epl-lee-liv-2025-12-06,2025-12-06T17:30:00+00:00,H,6,0.23,0.2404,0.2158,0.2247,0.2115,0.2108,0,281477
E0,epl-lee-liv-2025-12-06,2025-12-06T17:30:00+00:00,H,24,0.23,0.2404,0.2158,0.2247,0.2115,0.2108,0,281477
E0,epl-lee-liv-2025-12-06,2025-12-06T17:30:00+00:00,D,1,0.24,0.2435,0.2447,0.236,0.238,0.2417,1,128986
E0,epl-lee-liv-2025-12-06,2025-12-06T17:30:00+00:00,D,6,0.25,0.2435,0.2447,0.236,0.238,0.2417,1,128986
E0,epl-lee-liv-2025-12-06,2025-12-06T17:30:00+00:00,D,24,0.25,0.2435,0.2447,0.236,0.238,0.2417,1,128986
E0,epl-lee-liv-2025-12-06,2025-12-06T17:30:00+00:00,A,1,0.54,0.5161,0.5395,0.5393,0.5504,0.5475,0,1093122
E0,epl-lee-liv-2025-12-06,2025-12-06T17:30:00+00:00,A,6,0.52,0.5161,0.5395,0.5393,0.5504,0.5475,0,1093122
E0,epl-lee-liv-2025-12-06,2025-12-06T17:30:00+00:00,A,24,0.52,0.5161,0.5395,0.5393,0.5504,0.5475,0,1093122
E0,epl-bri-wes-2025-12-07,2025-12-07T14:00:00+00:00,H,1,0.61,0.612,0.5926,0.5932,0.5955,0.6019,0,403510
E0,epl-bri-wes-2025-12-07,2025-12-07T14:00:00+00:00,H,6,0.63,0.612,0.5926,0.5932,0.5955,0.6019,0,403510
E0,epl-bri-wes-2025-12-07,2025-12-07T14:00:00+00:00,H,24,0.62,0.612,0.5926,0.5932,0.5955,0.6019,0,403510
E0,epl-bri-wes-2025-12-07,2025-12-07T14:00:00+00:00,D,1,0.22,0.2196,0.2236,0.226,0.2231,0.2207,1,120673
E0,epl-bri-wes-2025-12-07,2025-12-07T14:00:00+00:00,D,6,0.22,0.2196,0.2236,0.226,0.2231,0.2207,1,120673
E0,epl-bri-wes-2025-12-07,2025-12-07T14:00:00+00:00,D,24,0.22,0.2196,0.2236,0.226,0.2231,0.2207,1,120673
E0,epl-bri-wes-2025-12-07,2025-12-07T14:00:00+00:00,A,1,0.17,0.1685,0.1838,0.1808,0.1814,0.1774,0,206516
E0,epl-bri-wes-2025-12-07,2025-12-07T14:00:00+00:00,A,6,0.17,0.1685,0.1838,0.1808,0.1814,0.1774,0,206516
E0,epl-bri-wes-2025-12-07,2025-12-07T14:00:00+00:00,A,24,0.16,0.1685,0.1838,0.1808,0.1814,0.1774,0,206516
E0,epl-liv-bri-2025-12-13,2025-12-13T15:00:00+00:00,H,1,0.56,0.5676,0.5449,0.5397,0.5378,0.5468,1,946387
E0,epl-liv-bri-2025-12-13,2025-12-13T15:00:00+00:00,H,6,0.58,0.5676,0.5449,0.5397,0.5378,0.5468,1,946387
E0,epl-liv-bri-2025-12-13,2025-12-13T15:00:00+00:00,H,24,0.56,0.5676,0.5449,0.5397,0.5378,0.5468,1,946387
E0,epl-liv-bri-2025-12-13,2025-12-13T15:00:00+00:00,D,1,0.23,0.2273,0.2382,0.2422,0.2361,0.2369,0,100024
E0,epl-liv-bri-2025-12-13,2025-12-13T15:00:00+00:00,D,6,0.24,0.2273,0.2382,0.2422,0.2361,0.2369,0,100024
E0,epl-liv-bri-2025-12-13,2025-12-13T15:00:00+00:00,D,24,0.23,0.2273,0.2382,0.2422,0.2361,0.2369,0,100024
E0,epl-liv-bri-2025-12-13,2025-12-13T15:00:00+00:00,A,1,0.21,0.2052,0.2169,0.2181,0.2262,0.2163,0,298771
